Sentences,Sentence Sentiment,Aspects,Aspects Sentiment
"ما بين عائلة زيزي و ميكي يعتصر مصر الالم من منا لا يتذكر فيلم عائلة زيزي الذي أخرجه الرائع فطين عبدالوهاب عام 1963 و شارك في بطولته كلا من سندريللا الشاشة سعاد حسني و العبقري فؤاد المهندس و الفتى الشقي احمد رمزي بالاضافة إلى الأم الدافئة عقيلة راتب و الطفلة التي حملت العائلة اسمها اكرام عزو. ذلك الفيلم هو أول ما يتبادر و يحضر إلى ذهن كل من يشاهد فيلم عائلة ميكي،حيث تدور أحداث الفيلمين حوا اسرة مصرية تنتمي إلى الطبقة المتوسطة و ما تواجهه من مصاعب الحياة العادية التي تكشف حال المجتمع المصري في زمنها . و يبدو أن الفارق الذى بلغ 47 عاماً قد أنتج الكثير و الكثير من الفروق بين حال الاسرتين. ",1,"فطين عبدالوهاب،سعاد حسني،فؤاد المهندس،احمد رمزي،عقيلة راتب","1, 1, 1, 1,1"
 أما في فيلم عائلة ميكي 2010 و الذى اعتمد على فكرة مشابهة مع اختلاف اساسي هو وجود الاب و ان لم يكن مؤثرا نهائيان بدت الأحلام اضيق و الأزمات أعمق بل و تزداد الوحدة و الإنعزال بين أفراد الأسرة و تحتل الغربة الشخصية مساحة عريضة من العلاقة الاسرية السيناريست الشاب عمر جمال أجاد في ثاني أعماله بعد أوقات فراغ و بني سيناريو جيد يتميز أبطاله بالحيوية و الصدق و ان كان كلا منهم يعتمد على الكذب كشريعة في حياتهن و نجح من خلال استعراضه للاسرة في وضع يده على العديد من الآفات التي أصابت المجتمع المصري في عرض جرىء يحسب له. ,,"الأحلام،الأزمات،عرض","-1,-1,1"
"المخرج اكرم فريد ينجو أخيرا من قبضة السبكي و التي أهدر من خلالها طاقة فنية واعدة تبدو جلية وواضحة فى ايقاع الفيلم و المشاهد و التحكم في أداء الممثلين خاصة الأطفال و كذلك زوايا التصوير و الإضاءة. لبلبة فنانة رائعة كالعادة اكتفي الكثيرون بالحديث عن ظهورها بالحجاب و تناسوا الأداء السهل الممتنع و حميميتها التي تشعرك أنها أمك أو أم صديقك . أحمد فؤاد سليم يعيد إكتشاف نفسه عملا بعد عمل،ممثل كبير و صاحب أداء ممتاز. فريق الشباب الذي ادى أدوار الأبناء حيوية و انطلاق و خفة دم فطرية نجحت في الوصول إلى المشاهد.",,"طاقة فنية،الأداء،أداء","1,1,1"
"سامحكم الله سامحكم الله الفيلم لا يعبر إطلاقاً عما يحدث فى كليات الفنون الجميلة بمصر ... فالفنون فى كليات الفنون الجميلة ... جميلة و ليست قبيحة كما صورها الفيلم ... بل وصل الأمر إلى التقبيح من شأن الأساتذة فيها،و الذين هم فى حقيقة الأمر يحملون شعلة الفنون التى لم تخبأ فى مصر منذ آلاف السنوات مرة أخرى ... سامحكم الله",-1,الفنون,1
"المحتل الأمين على مدار التاريخ السينمائى الاميركى , قدمت هوليوود اعدائها بصورة سيئة , فالهنود الحمر السكان الاصليون للقارة بربريون همجيون يهوون جمع فروات رأس المتحضرين , أما الألمان فى الحرب العالمية الثانية فمهوسون بلا مشاعر من هواة التعذيب ومثلهم بالطبع اليابانيون والايطاليون .",0,"المحتل،صورة","1,-1"
القاصرات ومعنى جديد للفيلم المصري معنى جديد للفيلم المصري ظهر بفيلم القاصرات الذي أخرجه المخرج أحمد فؤاد وكتبه بحرفية شديدة الكاتب احمد عبد الوهاب ليؤكدان أن خصوبة السينما المصرية ما زالت تواصل انتاجها العظيم حيث معالجة الفيلم لمشاكل اجتماعية بحتة والتي اقتربت كثيرا من مشاكل الشباب في المجتمع مقدما مشكلة من اهم المشاكل بوجهة نظر ممكنة في مضمونها الاجتاعي حيث قصة الفتاة البسيطة الفقيرة نعيمة التي دخلت الاصلاحية مظلومة وحاولت إثبات براءتها لكنها فشلك في ذلك فتخرج من الاصلاحية مجرمة ,1,حرفية,1
"وصمة في تاريخ سولاف آخر أيام الحب،عنوان لمسلسل بطلته سولاف فواخرجي عنوان أوحى للمشاهد العربي بأنه سيتابع عملا آخرا متميزا كأعمال كثيرة أبدعت بها الممثلة السورية الجميلة فواخرجي... إلا أن خيبة الأمل أصابت المشاهد مع أولى حلقات المسلسل،ولا ندري ان كانت المشكلة تكمن في النص الذي كتبه المؤلف هاني السعدي الذي كانت له أعمال متميزة سابقة.. أم في السيناريو والحوار الذي كان يخلو على الأغلب من لغة الحوار (على حد علم المشاهد)،مسلسل ضعيف ومهلهل كآخر أيام الحب الذي تابعه المشاهد على مضض ظنا منه بأنه يتابع عملا مبدعا لسولاف فواخرجي.",-1,"عمل،أعمال،مسلسل","1,1,-1"
"البريء والتنفيس عن الكبت السياسي يعتبر فيلم البريء علامة من علامات نضج السينما المصرية وجديتها حتى اننا نجده نبوءة لما يحدث في البلد اﻵن من ثورات،،،،فهو فيلم استطاع ان ينفس من خلاله الشباب المكبوت سياسيا عن غضبهم وقتذا كما يؤكد من خلاله ان ظاهرة المخرج عاطف الطيب ظاهرة استحقت كل التقدير والاحترام لتمكنه الدائم من اخيتاراته للمواضيع التي يقدمها ودليل كبير ع التطور المستمر والوعي في احساسه معبرا عن عملية القمع والسلطوية المتبعة داخل انظمة البلد",1,دليل,1
"عاطف سالم وتجربة الواقعية قد يرى البعض المخرج عاطف سالم مخرج يصنع افلام سطحية ركيكة يسعى من وراها الموزعين والمنتجين إلى تحقيق اعلى ربح ممكن وبغض النظر عن تلك الافلام التي قدمها و كان السبب الحقيقي ورائها هو تحقيق الاربح مثل فيلم ونسيت أني امرأة وفيلم ياناس يا هو،إلا أنه يقدم مستوى رفيع شديد الحساسية والاحترام ومبذول بجهد فني وحرفي متقن ويحسب له فيلم (ام العروسة) عن قصة الكاتب عبد الحي أديب وسيناريو وحوار عبدالحميد جوده السحار بأنه عمل فني لمرحلة جديدة من النضوج والوعي ودرجة عالية من الابهار والبراعة من خلال واقعية حقيقة حيث الموظف البسيط حسين رب أسرة مصرية كبيرة من حيث عدد افرادها،",1,"افلام،مستوي","1,1"
رأفت الميهي وفكرة المساواة دائما ماتلهمنا المشاكل الحقيقة والواقعية والاقرب إلينا وخاصة تلك المشاكل التي نمر بها إلى العديد من الأفكار نستطيع من خلالها أن نفجر الكوميديا الحقيقة القادرة على إدخال البهجة والسعادة إلى قلوب الناس واضحاكهم وهذا ما فعله المخرج رأفت الميهي عندما قدم بشجاعة بالغة فيلم السادة الرجال من خلال معالجة سينمائية موفقة وفهم لواقع اجتماعي حقيقي عن فكرة تحول المرأة إلى رجل طارحا أهم القضايا وهي فكرة المساواة التي تسعى إليها المراة ورغبتها الدائمة في القيام بكل المهام التي يقوم بها الرجل لتثبت بانها لا تقل عنه شيء,1,"شجاعة،معالجة سينمائية","1,1"
