Column1,Sentences,Aspects,Sentences Sentiment,Aspects Sentiment
0,"
نصحوني بتجربة حمام الكبريت. يمكنكم الدخول مع مجموعة ولكني استأجرت غرفة كاملة لي. التكلفة 50 لاري ويمكنكم إضافة السكرب والمساج مقابل 20 لاري. ذهبت في نهاية الإجازة للاسترخاء من الرحلات اليومية التي قمت بها. الحمام نظيف والعاملات في منتهى التعاون لكن الإنجليزية ضعيفة.
","الحمام، العاملات، الإنجليزية",1,"1, 1, -1"
1,"قلعة ساحرة 
منظر خلاب للمدينة من أعلى القلعة. يوجد بها حديقة نباتات ومجرى مائي جميل جدا. يمكنك الصعود سيرا أو باستخدام التلفريك
","قلعة، منظر، حديقة نباتات، مجرى مائي",1,"1, 1, 1, 1"
2,"تبليسي جورجيا
من أجمل المدن التي زرتها في حياتي شعبها طيب ومبتسم والحياة جميلة ورخيصه وفيها كل ما تريد من ترفيه وأماكن عبادة
","تبليسي جورجيا، شعبها، الحياة",1,"1, 1, 1"
3,"جولة على المدينة القديمة تبليسي شاردن 
ممتعة الجولة حول نهر كورا ...والجسر الزجاجي... ومنطقة شاردن وجلساتها الرائعة
وتلفريك للجبل لملكة جورجيا واطلالة على المدينة وكذالك النافورة الراقصة بعد المغرب
","المدينة القديمة تبليسي، الجولة، جلساتها، تلفريك، اطلالة، النافورة",1,"1,1,1,1,1,1"
4,"احلي اجازه لمحبي الطبيعه 
المناظر الخلابه الطبيعيه البكر تتمثل في جورجيا ًًـ وعدم الزحام و الاجواء المعتدله بالصيف هو ميزه تظاف لها
","اجازه، المناظر، الاجواء، ميزه",1,"1,1,1,0"
5,"الصعود لقمة مطل تبليسي 
الصعود لقمة المرتفع يعد غاية في الجمال خاصة انه مخدوم بقطار مريح يثل للقمة حيث المطل لجميع اجزاء تبليسي العاصمة بمنظر بانورامي جميل
مع تحياتي رحال الخبر
","الصعود، قطار، بمنظر",1,"1,1,1"
7,"جميل جدا 
يعرض لك وبصورة مبسطة تاريخ وتقاليد قبائل ومدن جورجيا
مناظر الطبيعة والغابات جميلة جدا
بعض الاكواخ يوجد فيها من يشرح عن العادات والتقاليد
انصح بزيارته
","بصورة، مناظر، الغابات",1,"1,0,1"
8,"مدينة جميلة تستحق الزيارة 
تبليسي عاصمة جورجيا مدينة رائعة وسكانها بسطاء. تجمع سحر أوروبا دون مبالغة في الأسعار. من أجمل المعالم قلعة ناري كالا أعلى الجبل. فنادقها بسيطة ولكنها جميلة وعائلية. حمام الكبريت غاية في الروعة تشعر بعده بالاسترخاء. بالنسبة للسيدات، هناك مركز تجميل غاية في الروعة والنظافة اسمه مركز تجميل نينا وأسعاره معقولة جدا ومنتجاته في منتهى الرقي. صاحبة الصالون تتحدث الإنجليزية وبعض العربية والموظفات في منتهى التعاون والحرفية.
","مدينة، تبليسي، سكانها، الأسعار، المعالم، قلعة ناري، فنادقها، حمام الكبريت، مركز تجميل، أسعاره، منتجاته، صاحبة الصالون، الموظفات",1,"1,0,0,1,1,1,1,1,0,1,0,1,1"
9,"اللهم ارزقنا الجنة 
منطقه رائعه وجميلة جدا جدا جدا تتوفر فيها شقق سكنيه ومطاعم ومقاهي باردة صيفا وممطره والضباب يلف في المكان بإستمرار توجد بالمنطقه شلالات ونهر ومسطحات خضراء الذهاب الى هذه المنطقه ضرورى للغايه والطريق اليها من طربزون رائع وبالقرب منه توجد محلات لتأجير القوارب في المناطق الشديدة التيار من النهر
تبعد عن طرابزون 200 كلم تقريبا.
","منطقه، الضباب، الذهاب، الطريق، محلات",1,"1,0,1,1,0"
10,"ممتازه 
جو روعه ولا بالخيال وتزدحم اثناء العطل التركيه بالصيف وفي الشتاء تنقلب المنطقة الى بساط ابيض من الثلج
",جو,1,1
11,"نسمات باردة صيفية في آيدر البهية 
تحتار الحواس جميعا في آيدر.: ...جمال طبيعة...مع نسمات باردة ..مع مياه معدنية دافئة ...ومنافسة قوية لطعام شهي لطبق المغلاما.... أحببت المغامرة في آيدر , عن طريق ركوب زوارق الرافتنق في تيار متوسط للنهر هناك.... مع الدخول في متعة الحمامات المعدنية الحارة مع التمتع بالخصوصية والحشمة هناك أما آخر مغامراتي هناك...كانت زيارة لقرية جبلية طريقها وعر وخطر...هي قرية كافرون والتي تشعرك بصفاء ونقاء البيئة وروعة الطبيعة ...حيث الهدوء والجبال والتمتع بإطلالات فريدة لمنطقة نائية لا يقصدها سوى محبي الطبيعة وعشاق التخييم و المغامرون أمثالي أنا وزوجي...بعيدا عن التحضر والضوضاء والفوضى .... آيدر قرية جميلة وأهلها لطفاء وبسطاء ....ويعتبر التجول فيها وما حولها متعة حقيقية لمحبي الاسترخاء والراحة والـــــمغامرة فاطمة
","نسمات، طبيعة، نسمات، مياه، طعام، المغامرة، ركوب زوارق الرافتنق، تيار، الحمامات المعدنية، قرية، طريقها، إطلالات، منطقة، آيدر، أهلها، التجول",1,"1,1,1,1,1,1,0,0,0,1,0,-1,1,-1,1,1"
