Sentences,Aspects,Aspects Sentiment
خدمتك دلوقتى اتصالات بتقدم عرض خصم لمدة شهور بداية شهر رمضان للعملاء الجدد باقات العرض بيكون متاح اول فاتورة كاملة رمضان كريم ,"عملاء،رمضان ","1,1"
بعدين المنطقة رافضة شبكة اتصالات تماما دي ,"المنطقة،شبكة","-1,0"
انا كنت اعرف وحده اتصالات كانت ديما عارفه انا بتكلم مين امتي وقت قد ايه انا عرفت متأخر ,,
 ايه ال دي يسطا اختصار اتصالات ولا ايه ,اختصار,0
للحصول خدمات الـ ممكن نتصل رقم المبيعات أي رقم اتصالات الكارت بنفس تكلفة الاتصال ب الخط ومجانا لخطوط الشركات والفاتورة ثم اضغط رقم بعد اختيار اللغة علما بأن مواعيد العمل الساعة ص مساءا طوال أيام الأسبوع ,"رقم،الكارت،مواعيد العمل","1,1,1"
نت اتصالات هباب الهباب الهباب ,نت اتصالات,-1
يا رب شبكة اتصالات تقع ال بالمرة يبوظ ,شبكة اتصالات,-1
اتصالات الإمارات مجموعة تحتفي بشهر رمضان المبارك الشركات الصغيرة والمتوسطة بالعربي موبايلك تقنية تكنولوجيا اتصالات ,"شهر رمضان،الشركات","1,1"
نت اتصالات هباب الهباب الهباب ,نت اتصالات,-1
سلام صدر فاتورة بمبلغ والحد لاتمتانيت وصلت الموظفين ولم يفيدوني بشي رفعت اعتراض تم خصم وارجو التعامل مشكلتي اوسوف اتوصل هيئة اتصالات وتم فصل جولي وانا خارج السعودية رحله علاج وسوف ارفع شكوى لمن يهمه الامر لتعطيل استبقال جولي المكالمات وزارة الصحه ,"هيئة اتصالات،جولي،رحله","-1,-1,1"
قريب عرفت إن ممكن احول فودافون كاش موبينيل هل ينفع كمان التحويل لرقم اتصالات ,,
 اي ممكن يكون معك حق لانو بكون وظف انسان نزيه مكان عميل اتصالات ,انسان,1
عايز اشتري خط جديد ايه الاحسن اتصالات ولا وي ,خط,1
طب دا رصيد أي اتصالات ولا نوع الخط اي ,الخط,0
شركات اتصالات عمانجو الأردن الاردن حبا لأردن ,الأردن,1
اشكر اهتمامك لم يتم الرد اتصالات الهاتف لمعرفة الأسعار والعروض ,الرد,-1
