Sentences,Aspects,Sentence Sentiment,Aspects Sentiment
ممتازة بصراحه مريحة خاصتا في الخرجات الي من غير عربية,,1,
المنتج عملي,المنتج,1,1
جيد نوع,نوع,0,1
اشتريت السلعه ودفعت ثمنها من الماستر كارد وتم ابلاغي انه تم ارجاعها ولا اعلم السبب,,-1,
شنطة جميلة وأنيقة وسعرها مناسب جدا,"شنطة،سعر",-1,"1, 1"
الشنطة حلوه,الشنطة ,1,1
هذا السرير (أو المحجر كما يسمى) ممتاز ... نوم ولعب بأمان خاصة للأطفال الرضع أقل من 3 سنوات.,"السرير،محجر",1,"1, 1"
لعبة مفيده,لعبة,1,1
مرااا حلوة احلى شيء انها تجمع اكتر من شيء بمكان واحد يعني اغتنام مساحهة ومنظمة ومرتبة وكل شي قريب من البيبي .. واجهت صعوبة بس في فتح السرير .. والطريقة كانت واضحة باليوتيوب اكتبو طريقة تركيب سرير الاطفال,"السرير،الطريقة",1,"1, 1"
هذه السلعه ممتازة جدا وفريدة من نوعها,السلعه,1,1
شكرا لكم على خدمتك,,0,
تم توصيل السلعة الى المنزل بحالة ممتازه في وقت قصير وهي اداة مفيدة جدا لإراحة الأهل من تفقد الأطفال كل فترة,"السلعة،اداة",1,"1, 1"
منتج رائع جداً وانصح فيه,منتج,1,1
السلعة تستحق القيمة التي دفعتها فيها ( 30 ريال). عيبها الوحيد أن البائع رفع السعر إلى الضعف! لا أنصح بشرائها بهذا السعر المبالغ فيه. لا تستحق أن تدفع فيها 60 ريال.,"السلعة،السعر",0,"1, -1"
جميع منتجات السلامة لطفل ممتازة,منتجات,1,1
رائعه وعملية. قوة الشفط مناسبة للاطفال غير مؤذية. يمكن استعمالها للانف او للفم لكن يجيب تنظيفها. سهلة الشحن و الحمل و الاستعمال والتنظيف. انصح بإقتنائها.,"الشفط،الشحن،الحمل،الاستعمال،التنظيف",1,"1, 1, 1, 1, 1"
السلعة رديئة وقد تلفت من اول استخدام  نوعية الشاش المستخدم خفيف جدا  ويتمزق بسهولة عند اي استخدام واذا تمزق فقدت خاصيتها بمنع البعوض,"السلعة،نوعية الشاش المستخدم",-1,"-1, -1"
كرة ممتازة للاطفال,كرة,1,1
نوعيه ممتازه رائحه منديل ملمسه ناعم ورائحته زكيه وهو عباره عن منديل مرطب مع لوشن  وانا معجب من سوق لسرعه التوصيل انا اشكرا علي الموضوع دا,"منديل،ملمسه،رائحته،التوصيل",1,"1, 1, 1, 1"
مجموعة متنوعة وممتاز مناسب للسفر,مجموعة,1,1
المنتج ممتاز ومتعدد الانواع,المنتج,1,1
الحقيقه الفستان اعجبني بس مافهمت نقطة بنات 4 الي 5 سنوات والحجم من 12 الى 18 شهر انا عندي بنت عمرها 4 سنوات وابي اشتري على قدها ممكن تفيدونا,الفستان,1,1
ممتازة للطفل وحافظة لعينيه بعد الله من دخول الشامبو فيها جودتها نوعاما غريبة لكن تفي بالغرض شكرا لكم,جودة,1,-1
"سلعة ممتازة جدا"" يمكنني السماع من خلال الجدران والحواجز بوضوح أنصح بها ويمكنك أخافض الصوت ورفعة للسماع أوضح",سلعة,1,1
مناسبه للأعياد والحفلات,,1,
- إيجابيات و سلبيات بدلة تخسيس رياضية ‫(2XL):,,1,
غير مناسبة لمن يريد الحصول على جسم مشدود تصلح لصاحب جسم مشدود اساسا لاظهار تفاصيل جسمه,,-1,
رائع وانصح به للذي يملك ترهلات فقط,,1,
سلعة ممتازه والتسليم أكثر من جيد من ناحية زمن التسليم كما ان سعرها ممتاز ولا توجد بها أي سلبيات وشكرا لكم,"سلعة،زمن التسليم،سعر",1,"1, 1, 1"
المنتج حلو كتير,المنتج,1,1
حافظة عملية تغنيك عن حمل المحافظ الكبيرة و المزعجة للجيب ... باستطاعتك الوصول للكرت المهم في وقت قصير جداً,"حافظة،محافظ،الكرت",1,"1, 0, 0"
تحتوي على جيب بسحاب و مواقع كثيرة للبطاقات و حجمها متوسط,حجم,1,0
القلم أفضل أما المحفضه سيئة جدا ورديئه الخام,"القلم،المحفظه",-1,"1, -1"
اعجبني بشده وانصح به جميع من يعانون من الام في الظهر وخاصة الاشخاص الذين لا يستطيعون اقامة ظهرهم بالشكل الطبيعي المطلوب,,1,
القلم لايطابق المواصفات المذكورة,القلم ,-1,-1
المنتج رائع,المنتج,1,1
فعلاً بتحافظ على الكروت جدا لانها معدن بس كنت اتمنى ان تكون مفصلات الحافظه اقوى وعموماً هى شكلها جميل جدا وبتجذب اى حد شافها معايا بيقوللى بتتباع فين,"مفصلات الحافظه،شكل",1,"-1, 1"
سلعة رائعة بالضبط هي السلعة التي كنت أبحث عنه,سلعة,1,1
لا بأس بها لكن لم يعجبني حجمها الكبير مشوه منظر المحفظه !,"حجم،منظر المحفظه",0,"-1, -1"
لا تكفي لاكثر من ثلاث او اربع بطاقات والسعر مبالغ فيه يعني حوالي 100 ريال,سعر,-1,-1
ممتازة لو تأتي في كرتون خاص فيها لتكون هدية قيمة,,1,
الحمدلله والصلاة والسلام على رسول الله ...نوعية ممتازة وصلت مغلفة بعناية و في وقت مناسب,"نوع،وقت",1,"1, 1"
ممتازه من ناحية اشكل الانيق,اشكل,1,1
شماغ رائع ومميز,شماغ,1,1
المنتجات رائعة وعمليه وشيك جدا,المنتجات,1,1
المنتجات روعه ومطابقه للصوره,المنتجات,1,1
قلم رائع,قلم,1,1
جلد طبيعي وجودة عالية,جلد,1,1
قلم ممتاز بالنسبة للسعر واسم الماركة اسعار شيروتي بالنسبة للاكسسوارات الرجالية اقلام ومحافظ وكبكات,قلم,1,1
جميلة وانيقة ولكن ارى انها صغيره,,1,
"مساء الخير،وصلني القلم اليوم لكن للأسف الدائرتين التي تظهر في الصورة باللون الأحمر مختلفة عن الواقع حيث أن القلم الذي وصلني الدائرة لونها أصفر",القلم,-1,-1
المنتجات غير متطابقه مع صورة العرض,المنتجات,1,-1
انيقه وجميله وفعلاً عصريه  وتتسع لي البطاقات والاموال  والاوراق الشخصيه  والهاتف الشخصي واعطيها تقيمي الشخصي  بي خمس  نجوم,,1,
"السلعة أكثر من رائعة بالنسبة لي ومصنوع من خامة ممتازة و أنيق جدا ومن أجمل ما قمت بشرائه على متجر سوق كوم الرائع،،،","السلعة ،خامة",1,"1, 1"
اذا كانت كما في الصورة فهي من ارقاء انواع الاقلام .,الاقلام,0,1
محفظة مفاتيح رائعة وعملية وخفيفة.,محفظة مفاتيح,1,1
المنتج جيدجداا,المنتج,1,1
المنتجات لا انصح احد بشرائها,المنتجات,-1,-1
شكرا لتوفير هذه الغترة الرائعة وأتمنى زيادة عدد القطع المعروضة للبيع. فهذه المرة الثانية التي أقوم بشراء هذه السلعة .,الغترة,1,1
ممتازه ونوعيه طيبه وشكراً على هذه السلعه ونتمنى التقدم والزياده فموقعكم وفر لنا الشي الكثير فجزاكم الله خير,السلعه,1,1
المنتج غير جيدة ولا انصح به,المنتج,-1,-1
كل شي ممتاز العيب الوحيد تاخر وصلها فقط,وصل,1,-1
مستواها جيد ولابد من اضافة الشركة المصنعة في المميزات حتى يتسنى للمستهلك نوع الشركة ويكون على دراية تامة في اتخاذ القرار وهومطمئن اكثر مماهو مذكور في المميزات ولكم جزيل الشكر على تيسير خدمة الشراء ابتداء من الشراء حتى استلام السلعة,مستوى,0,1
اعطي اكبر من حجمه اضعاف مايستحق,حجم ,-1,-1
الصورة و الوصف يختلف تماما عن السلعة التي استلمتها,,1,
خامة يابانية ممتازة وعالية الجودة,خامة يابانية,1,1
المقاس مختلف عن المقاس المطلوب,المقاس,-1,-1
قلم ذو شكل فخم وانسيابي عند الكتابة!,قلم ,1,1
السلعة سيئة وخامتها سيئة جدا وغير عملية ولا تقوم بشد الجسم بالشكل المطلوب  واتقطعت في أول يوم استخدام,"السلعة،خامة",-1,"-1, -1"
خفيف الوزن وانيق والسعر ممتاز,"الوزن،السعر",1,"1, 1"
#NAME?,,0,
