Sentences,Aspects,Sentence Sentiment,Aspects Sentiment
"٦٠
اللي يوصل ميلان ولا يمر هالمطعم اعتبرة خسران خسران مطعم مرتب اكل نظيف ولذيذ جداً و العاملين محترمين انا صراحة بدون مجاملة اعطي المطعم ٩٩،٩/١٠٠","مطعم،اكل،العاملين",1,"1,1,1"
"رااااائع
المطعم أكله لذيذ جداً والعاملين متعاونين وانصح به بشدة وموقعه مناسب ممكن الوصول اليه بسهولة عن طريق التاكسي وشوربة الحريرة ممتازة لديهم","المطعم،أكل،العاملين،موقع،شوربة الحريرة",1,"1,1,1,1,1"
"
مطعم جيد
العاملين فيه ودون
بالنسبة للأطعمة ممتازة بالأخص اللحم
ورق العنب ليس جيد
الشاي الأحمر ممتاز
على العموم المطعم في مدينة ميلان يعتبر من افضل المطاعم ...
مقارنة بغيره من مطاعم،انصح بهذا المطعم بشدة","مطعم،العاملين،أطعمة،ورق العنب،الشاي الأحمر",1,"1, 1, 1, -1, 1"
"مطعم جميل جدااااا
مأكولات بجد جميله جداااااا فواتح شهية المكرونات والأسماك و برافوا الشيف والمطبخ كله حقيقي أكل جميل حتي في طباخ عربي براڤوا كتير والطرته كتير جميله هذا اجمل مطعم اكلنا فيه في ميلانو","مطعم،مأكولات،الشيف،أكل،طباخ،الطرته،مطعم",1,"1, 1, 1, 1, 1, 1, 1"
الأكل رائع و حلال.. طلبنا لحم بالبامية مع رز و كان لديذ.. و طلبنا مشاوي مشكله و كانت لذيذه.. و طلبنا صحن فلافل و جدا لذيذه.. و أبو محمد أغرقنا بكرمه قدم لنا بالمجان صحن بطاطس بالجبن و صحنين حلويات.. شكرًا بو محمد استمتعنا بالعشا.. و نادر ما تحصلون مطعم نظيف في إيطاليا.. علي - الإمارات..,"الأكل،لحم بالبامية مع رز،مشاوي مشكله،فلافل،أبو محمد",1,"1, 0, 1, 1, 1"
"
مطعم هندي لذيذ بميلان وقريب من الدومو انصح فيه وبشده،،حطوا اسم المطعم بخرائط القوقل ويطلع لكم العنوان وقريب حيل من السنتر بس مكانه داخل شوي",مطعم هندي,1,1
"مطعم هندي ممتاز بأكله واستقباله وضيافته
المطعم قريب من الدومو
تقريبا يبعد اقل من كيلومتر والمسافه تقطعها ماشيا
هناك صعوبة في ايجاد المطعم لكنه يستحق العناء فالمالك كان ودودا جدا والاستقبال والخدمة ممتازة والأكل لذيذ وخفيف وسعره معقول
انصح به بشدة","مطعم هندي،المطعم،المالك،الاستقبال،الخدمة،الأكل،سعر",1,"1, 0, 1, 1, 1, 1,1"
"
مطعم هندي ماكولاته لذيذه وهو قريب من الدومو وانصح بزيارته لديه وجبات متنوعه وخدمته جيده وسريع في تحضير الوجبه المطلوبه بس حاول تخبره بتقليل الفلفل حتي لاتولع","مأكولات،وجبات،خدمة",1,"1, 1, 1"
"مطعم ممتاز
انا سافرت إيطاليا و أكلت بيتزا و كانت حلوى اوى و الخدمة حلو آوى و المكان متميز و المعاملة راقية","مطعم،بيتزا،الخدمة،المكان،المعاملة",1,"1, 1, 1, 1, 1"
"مطعم رائع 
الاكل لذيذ جدا و اطيب بيتزا و سيزر سلاد تذوقتها في هذا المطعم
لن انسى مذاقه ابدااا
و سأعود له
قريبا","مطعم،الاكل،بيتزا،سيزر سلاد",1,"1, 1, 1, 1"
"مطعم رائع يستحق التجربه
اكل لذيذ انصح به ريش غنم و بني اربياتا ومعاملتهم رائعه انصح بتجربه الاكل فيه بس مشكله مافيه بيتزا مع انها اكلتهم المفضله","مطعم،اكل،معاملة،بيتزا",1,"1, 1, 1, -1"
"مطعم. ممتاز
أنا من دبي. بحضر الي ايطاليا لعمل بسنس وخصوصا. ميلانو وفي احد المرات. دعاني صديقي استفانو للعشا في وسط المدينه عندما وصلت الي المطعم بهارتني الديكورات التي به
عندما احضرو المنو وجته أسعاره في متناول الجميع والطعام جيد جدا حتي البيزا أكلتها زوجتي كانت ممتازه فعلا كان عشا ممتاز وعندما أعود الي ميلانو سوف اذهب مره اخري الي هناك","مطعم،الديكورات،أسعار،الطعام،البيتزا",1,"1, 1, 1, 1, 1"
"
مفاجأة إيجابية،خاصة بعد الحصول على بخيبة أمل مرات عديدة في إيطاليا. استمتعنا بلخدمة،وخاصتا عادل. شعور كبير من الفكاهة. شريحة لحم المطبوخ جيدا ولذيذ. لها حقا تستحق الزيارة،وخصوصا عندما لم تكن هناك أماكن كثيرة في ميلانو.","مفاجأة،شريحة لحم",1,"1, 1"
"مطعم جيد جدا
انا اكلت فى هذا المطعم بصراحة ما لو حل
يقدمون اطعمة شهية جدا
البريمو والسكوندو والترسو ما لهل مثيل
يقدمون انواع جميلة جدا من الحلويات","مطعم،اطعمة،انواع",1,"1, 1, 1"
"مطعم رائع
متنوع في أصناف البيتزا والرزيتو والباستا .. وأسعاره مقبولة الجلسه الخارجيك جميله والمكان هادئ ومعاملة الموظفين محترمه","مطعم،أسعار،الجلسة،المكان،معاملة الموظفين",1,"1, 1, 1, 1, 1"
"موقع وخدمه مميزه
في منتصف الغاليري تجده وبين العديدة من المقاهي المنتشرة حوله تجده مميز رغم بساطته يجذبك الأسم وطاولات قليله العدد أنيق والأجمل ما يقدمه من قهوة قويه بالاضافة الي قطع الكيك اللذيذة","موقع،خدمة،طاولات،قهوة",1,"1, 1, -1, 1"
"احلا اكله اكلتها
جربوا هالمطعم للماكولات البحريه عندهم اكل جيد جدا جدا جدا
^_* والخدمه فيه ممتازه
لازم ازوره المره الجايه لما ازور ايطاليا","اكله،اكل،الخدمه",1,"1, 1, 1"
"جيد جداً
مكانه شوي يضيع
كان الطعام جيدجدا
لقد أعجبني أنا وزوجتي
طلبنا دجاج تندوري مع أرز برياني مع سبوسك خضار","مكان،الطعام",1,"1, 1"
"متعة فريدة من نوعها
من أفضل المطاعم التي دخلتها. يميزه انه ليس مطعم وإنما منزل تم تحويله الى متحف غني بلوحات فنية مميزة مع أفضل وارقى خدمة بالاضافة الى طعام لذيذ وممتع لكامل الحواس. تجربة فريدة من نوعها","متعة،متحف،لوحات،خدمة،طعام،تجربة",1,"1, 1, 1, 1, 1, 1"
"تناولت العشاء فيه
فندق قريب من المطار لكنه عادي في منطقه مزدحمة الطعام عادي اوبن بوفيه لكنه مقبول وكعادة اغلب الفنادق هنا الشيف كيني والاكل يغلب عليه الطابع الكيبني",,0,
"اجمل مافيه انه علي النيل
لعل الميزة لوجوده علي النيل هي ايضا عيب مساءا لتكاثر الناموس والحشرات التي تتجمع ليل علي الضوء الطعام عادي وغالي جدا","الميزة،الطعام،الحشرات",0,
الطعام جيد واللحوم رائعه والاكل العربي المندي روعه الاسعار مناسبه بالمقارنه باماكن اخري في جوبا لكن المطعم صغير وليس علي احدث طراز,"الطعام،اللحوم،الاكل العربي المندي،الاسعار،المطعم",0,"1, 1, 1, 1, -1"
"مطعم مختلف عن الجو العام بجوبا
مطعم مختلف بسيط غير انيق ولكنه يقدم طعام مختلف يمكن تصنيفه بانه طعام هندي مقبول وهناك بعض الاصناف التي يمكن تناولها ولكن يغلب عليها البهار والحار والنكهه الهنديه الخدمه جيده ولكنه مزدحم وخاصة وقت العشاء","مطعم،مطعم،طعام،طعام،النكهه،الخدمه",0,"0, -1, 0, 1, 1, 1"
